Location,Site Name,Sub Route,Via Route,Route,Des Code,Google Km,Grace Km,Total Km,A Hrs,Lead Hours,Lead Days,Lastdispatched,Lastdispatchcount,Mtd Count,Boxcount Packstage,Boxcount Pnastage SUM,Boxcount Cla,Boxcount Sprs Cla,Boxcount Clarackstg SUM,Boxcount Clagrid SUM,Boxcount Claholdstg SUM,Boxcount Loadlane SUM,Boxcount Clawinterstage SUM,Apps Boxcount,Nonapps Boxcount,Non Trading Boxcount,FMCG Boxcount,Total Box Count,Total Box Count_Stages,Apps Cft,Non Apps Cft,Non Trading Cft,Fmcg Cft,Apps Qty Ea,Non Apps Qty Ea,Non Trading Qty Ea,FMCG_QTY_ EA,TOTAL COGS,Hold Pkt,Total Pkg.,SN CFT,Total CFT,Total Qty
297-VMART INDORE-MALWA MILL,INDORE-MALWA MILL,D-1,,,101323,,,,,,,D-Oct-YY,42,783,,13,1,5,,,,4,,11,1,7,15,34,,34,3,0,4,795,18,5527,274,191290,0,22,0,41,6614
296-VMART GWALIOR-OPPO. FILMISTAN,GWALIOR-OPPO. FILMISTAN,D-2,,,101322,,,,,,,D-Oct-YY,39,1108,,13,1,17,,,,13,,25,1,17,20,63,,76,0,0,15,1344,4,5528,291,418596,0,43,0,91,7167
298-VMART LUCKNOW-ARJUNGANJ,LUCKNOW-ARJUNGANJ,D-3,,,101324,,,,,,,D-Oct-YY,79,871,,35,,63,,,,41,,85,8,48,49,190,,309,6,0,33,4897,165,6070,832,1412662,0,139,0,349,11964
300-VMART UNNAO-SHAHGANJ BAZAAR,UNNAO-SHAHGANJ BAZAAR,D-5,,5,101327,,,,,,,,,,1,28,,772,,,,33,,670,59,252,92,1073,,2659,73,90,72,40533,582,3550,1437,10837776,0,834,0,2894,46102
229-VMART LUCKNOW-DUBAGGA,LUCKNOW-DUBAGGA,D-6,,6,101199,,,,,,,,,,,78,,647,,,,,,430,193,185,72,880,,1610,311,223,52,25557,2859,8998,1041,7243880,0,725,0,2196,38455
299-VMART JAIPUR-RAJAPARK,JAIPUR-RAJAPARK,D-7,,7,101326,,,,,,,D-Oct-YY,174,1517,,11,,33,,14,,43,,44,44,17,18,123,,152,83,0,16,2626,625,5522,314,794788,0,101,0,251,9087
098-VMART AGRA,AGRA,R-1,"NUH,HODEL,KOSHI",1,100743,57,15,72,2,3,2,D-Oct-YY,62,497,6,15,,42,,,,5,,31,13,18,25,87,,119,19,0,28,1420,138,210,609,540142,11,57,0,167,2377
245-VMART RAJPURA-AGRA,RAJPURA-AGRA,R-1,"NUH,HODEL,KOSHI",1,101235,228,10,238,6,48,1,D-Oct-YY,70,639,1,5,1,32,,,,4,,31,7,16,5,59,,119,14,0,3,1335,91,5612,63,509766,23,19,0,136,7101
270-VMART AGRA-SIKANDRA,AGRA-SIKANDRA,R-1,"NUH,HODEL,KOSHI",1,101265,228,10,238,6,48,1,D-Oct-YY,48,343,,4,1,29,,,,5,,37,,18,1,,,129,,0,1,1583,,5522,24,588694,99,-61,0,130,7129
089-VMART GIRIDIH,GIRIDIH,R-10,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",10,100140,1192,25,1217,30,40,5,D-Oct-YY,123,651,5,7,,85,,3,,14,,53,28,26,39,146,,189,94,0,42,2259,540,1050,762,930034,7,107,0,325,4611
100-VMART HIRAPUR-DHANBAD,HIRAPUR,R-10,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",10,100745,13,10,23,1,1,5,D-Oct-YY,103,700,,5,,74,,1,,7,,56,19,24,13,112,,204,24,0,13,2002,225,3150,319,936066,15,72,0,240,5696
149-VMART JAMTARA,JAMTARA,R-10,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",10,101044,76,10,86,2,3,5,D-Oct-YY,29,126,1,3,,25,,,,2,,17,6,10,10,43,,60,7,,12,655,104,,204,290544,3,28,0,79,963
256-VMART DHANBAD-BANK MORE,DHANBAD-BANK MORE,R-10,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",10,101250,1218,10,1228,96,100,3,D-Oct-YY,68,452,6,5,1,64,,,,2,,62,9,28,11,110,,151,34,0,16,2285,56,5522,222,1011638,11,66,0,201,8085
287-VMART DHANBAD-SARAIDHELLA,DHANBAD-SARAIDHELLA,R-10,"HODEL,ALLAHBAD,AURANGABAD,BAGODAR",10,101306,1593,5,1598,96,2,4,D-Oct-YY,64,444,,3,,59,,,,7,,54,13,24,7,98,,200,11,0,3,2081,121,6572,120,887726,0,69,0,214,8894
102-VMART RANCHI,RANCHI,R-11,"HODEL,ALLAHBAD,AURANGABAD,RANCHI",11,100766,1212,10,1222,96,96,4,D-Oct-YY,53,951,3,16,1,31,,,,4,,29,11,13,14,67,,107,17,18,18,1510,234,500,406,493976,33,21,0,160,2650
148-VMART BIRSA CHOWK-RANCHI,BIRSA CHOWK-RANCHI,R-11,"HODEL,ALLAHBAD,AURANGABAD,CHAUPARAN",11,101043,1228,10,1238,96,96,4,D-Oct-YY,124,1719,10,28,1,40,,,,9,,51,21,17,23,112,,200,92,21,29,2385,386,700,541,870058,32,55,0,340,4012
171-VMART ADITYAPUR,ADITYAPUR,R-11,"HODEL,ALLAHBAD,AURANGABAD,CHAUPARAN",11,101089,1317,10,1327,96,5,4,D-Oct-YY,28,685,2,17,,16,,,,1,,16,7,6,14,43,,53,42,18,18,620,128,6022,374,280380,17,19,0,130,7144
195-VMART JAMSHEDPUR-SAKCHI AMBAGAN,JAMSHEDPUR-SAKCHI AMBAGAN,R-11,"HODEL,ALLAHBAD,AURANGABAD,CHAUPARAN",11,101145,1317,10,1327,96,5,4,D-Oct-YY,26,692,,9,,20,,,,1,,18,11,10,1,40,,62,45,11,1,778,160,5822,24,306434,8,22,0,119,6784
076-VMART LAJPATNAGAR,LAJPATNAGAR,R-12,"GURGAON,DELHI",12,5,65,0,65,2,2,0,D-Oct-YY,44,539,12,11,2,35,,,1,29,,52,14,28,26,120,,196,73,0,34,2349,258,7000,731,876468,11,76,0,303,10338
